artist_name,track_name,track_url
Christian Burns,Eyes Wide Open,https://open.spotify.com/track/5rldn9JQIR09ff6qtcOQTB?si=d209be0b43e84884 
Christian Burns,Honour,https://open.spotify.com/track/3DmX6FLmBhnoXLtedTS5Ul?si=7d8d8fbec04b40f3 
Christian Burns,Friendly Fire,https://open.spotify.com/track/2TPEOIej7RyQkgq48R1Be7?si=f737eb112b6d47a4 
Christian Burns,The Hands That Matter,https://open.spotify.com/track/7DXvqZyrD1zFepl3snyPbX?si=f15aa45d11a74164 
Christian Burns,Now Or Never,https://open.spotify.com/track/6YKzK8Rcs6t5XV41SQRADr?si=6c830184a0194426 
Christian Burns,Everywhere,https://open.spotify.com/track/4VeIlYxioAPeaDh65rhnj9?si=5b2e5eebde2b46a7 
Christian Burns,Red Lights,https://open.spotify.com/album/5POqxIIEc8PqOhgRMuQnAc?si=YHJk4CHIQqyz8o8iuUiZAg 
Christian Burns,Almost Home,https://open.spotify.com/album/27lx6DVMKycZRzjy3VyVeg?si=Sa4Fi6NlRyqeJa2L5CYGIQ 
Christian Burns,Always,https://open.spotify.com/album/64jo4kxE4a6TCb7WX9e4nF?si=sY1hTA4jTTKiEtjOO8sKug 
Audrey Gallagher,Going Home,https://open.spotify.com/album/76dmbMEF1af8vdDfwvlMeS?si=_x3TrfXYRfCtlJwlLQIi9A 
Audrey Gallagher,Armour,https://open.spotify.com/album/26gFDeeUQXC5qMXe8L8dTO?si=uN2AStIMS5me0cAs4ZLf5A 
Audrey Gallagher,Broken Things,https://open.spotify.com/album/1hfZ1eWkxgvPCbOThEOv2V?si=2_GnYrPaRgKfZtE9uxkHmA 
Audrey Gallagher,Lights,https://open.spotify.com/album/1ZZmYRy7EjfYgFeltGVjYk?si=3rTX26SOQzalRrYBZ-XAWA 
Audrey Gallagher,When The World Stood Still,https://open.spotify.com/album/2GUCHMdCeNWtauUnzhwOJw?si=M0cVEyPtTjCaXztdWX-tIw 
Audrey Gallagher,If This Is How It Ends,https://open.spotify.com/album/7pOBHK8WpCD3qFB8lF3TcQ?si=oTYNrqtdRWCWRWp9uu-Jtg 
Audrey Gallagher,Big Sky,https://open.spotify.com/album/255PbZx1TF61eXHPTWtmaa?si=IT8XAaWQRLiRt48ro5SwFQ 
Audrey Gallagher,Siren,https://open.spotify.com/album/4isTKDfCFvSktoOTnOHcUd?si=HFzUoHcjSbmMjqUd_vi5KQ 
Audrey Gallagher,Beneath The Stars,https://open.spotify.com/album/5k7x6wDRT67A80PVIbIUZT?si=BQaQlh2pTj-9Tuywaqy4SA 
Audrey Gallagher,Beneath The Stars (Sneijder Remix),https://open.spotify.com/album/2yDnWrfOZqpt3CAViniH5e?si=p48Mcf-RT4iLFUGtphXBOQ
Audrey Gallagher,Million Voices,https://open.spotify.com/album/379gDTqt80ionpiQv6knsJ?si=fkn4c3x2QNqa8BKpzpTDTw
Audrey Gallagher,Million Voices (Billy Gillies Remix),https://open.spotify.com/album/7teV1rKWa0bhOBnnKFXkMG?si=ZQUDq6QhTWaTYe38PZ9OEw 
Audrey Gallagher,Say My Name,https://open.spotify.com/album/1NocrUgVUKvrCZ09u8KPpL?si=SP0GMEYUQDWv8jE6VQE-7Q 
Audrey Gallagher,Skin Deep,https://open.spotify.com/album/4Oi2roIVATRl9V19W0zT9J?si=BaWM25gRRSq-ES4McqDalw 
Audrey Gallagher,Freefalling,https://open.spotify.com/album/5H1sa93ShHe8B9jN9NRIuQ?si=xRdZ7vGyQ5m6w9Me96qUmQ 
Audrey Gallagher,There Will Be Angels,https://open.spotify.com/album/28wq89byg1UkcYRC5mPNsH?si=SwGhDM0mSrm-PxMh2RdSRw
Audrey Gallagher,What It Takes To Love You (Remixes),https://open.spotify.com/album/06MGemkq2Ge6bde5aJxzYf?si=uaFZsR2RReKVpzmA4nzQ5Q
Audrey Gallagher,There Will Be Angels (Standerwick Remix),https://open.spotify.com/album/0AXSgzFcqTfurYPu0Qhk7t?si=MsHAUbKaTyKfF6K1MOD5OA 
Audrey Gallagher,What It Takes To Love You,https://open.spotify.com/album/1v9lXDAAk2Qvj7GBWipWLr?si=gKHAnmVGTOqG9kVtng4eow 
Audrey Gallagher,Lullaby,https://open.spotify.com/album/3fSA7XOPjd8OFUphEVlWfN?si=3LiCgqBsQiWuTZRF4RMLQA 
Audrey Gallagher,Your Own Way,https://open.spotify.com/album/5D8WiN6hVHWxVvEJpq7cUq?si=QM7eael_QuC7JXtOy_wmnA 
Audrey Gallagher,When The Lights Go Down,https://open.spotify.com/album/5raUhfVisV5acaE5yhPxpO?si=KkmV85U5R8mzWcv2ZYkm7g 
